journal	count
Journal of Lipids	6
Journal of Molecular and Cellular Cardiology	6
Journal of Nucleic Acids	6
Membranes	6
Molecular and Cellular Biology	6
Molecular Psychiatry	6
PLoS Medicine	6
Stem Cells (Dayton, Ohio)	6
Autophagy	5
Cancer Biology &amp; Medicine	5
Cancer Biology &amp; Therapy	5
Cancer Metastasis Reviews	5
Cell Host &amp; Microbe	5
Cell Reports	5
Chinese Medicine	5
Chromosoma	5
Diabetes &amp; Metabolism Journal	5
Enzyme Research	5
Frontiers in Cell and Developmental Biology	5
Frontiers in plant science	5
Genes to Cells	5
International Journal of Hypertension	5
International Journal of Inflammation	5
Journal of Amino Acids	5
Journal of Carcinogenesis	5
Journal of Ginseng Research	5
Journal of Inflammation Research	5
Journal of Molecular Endocrinology	5
Journal of Thrombosis and Haemostasis	5
Molecular Neurobiology	5
Oncology Reports	5
Parkinson's Disease	5
PeerJ	5
Pharmacology Research &amp; Perspectives	5
Plant and Cell Physiology	5
Radiation Oncology (London, England)	5
Reproductive biology and endocrinology : RB&amp;E	5
The Febs Journal	5
The Journal of General Virology	5
The Korean Journal of Physiology &amp; Pharmacology : Official Journal of the Korean Physiological Society and the Korean Society of Pharmacology	5
The Open Rheumatology Journal	5
The Plant Journal	5
Theoretical Biology &amp; Medical Modelling	5
Tissue Barriers	5
Translational Psychiatry	5
Tumour Biology	5
Acta Naturae	4
Alcohol Research : Current Reviews	4
Allergy, Asthma &amp; Immunology Research	4
American Journal of Physiology - Lung Cellular and Molecular Physiology	4
Biochemical Pharmacology	4
Biologics : Targets &amp; Therapy	4
BMC Research Notes	4
Cancer Immunology, Immunotherapy	4
Cancer Research and Treatment : Official Journal of Korean Cancer Association	4
Cell Biochemistry and Biophysics	4
Cell communication and signaling : CCS	4
Current Medicinal Chemistry	4
Experimental Hematology &amp; Oncology	4
Experimental Neurobiology	4
Free Radical Biology &amp; Medicine	4
Gut	4
Gut and Liver	4
Histochemistry and Cell Biology	4
Immunology and Cell Biology	4
International Journal of Hepatology	4
International Journal of Nanomedicine	4
Investigational New Drugs	4
ISRN Oncology	4
Journal of Cancer Prevention	4
Journal of Cellular Physiology	4
Journal of Extracellular Vesicles	4
Journal of Neurochemistry	4
Neuropsychiatric Disease and Treatment	4
Oncoimmunology	4
Reproductive Biology and Endocrinology	4
Sarcoma	4
Sensors (Basel, Switzerland)	4
Stem Cell Reports	4
The Korean Journal of Internal Medicine	4
The Open Virology Journal	4
Theranostics	4
Therapeutics and Clinical Risk Management	4
Translational Oncogenomics	4
United European Gastroenterology Journal	4
Upsala Journal of Medical Sciences	4
Yonsei Medical Journal	4
Advances in Virology	3
American Journal of Physiology - Endocrinology and Metabolism	3
Angiogenesis	3
Archives of Toxicology	3
Biochemical and Biophysical Research Communications	3
BMC Bioinformatics	3
BMC Genetics	3
BMC Medical Genomics	3
BMC Nephrology	3
BMC Pulmonary Medicine	3
BMC Structural Biology	3
BMC Urology	3
Brain and Behavior	3
Brain Sciences	3
Breast Cancer : Basic and Clinical Research	3
Breast cancer research : BCR	3
Cancer Management and Research	3
Cell Adhesion &amp; Migration	3
Cell and Tissue Research	3
Cell Communication and Signaling	3
Cell research	3
Cellular Microbiology	3
Channels	3
Clinical and Experimental Gastroenterology	3
Clinical and Experimental Otorhinolaryngology	3
Clinical Medicine Insights. Oncology	3
Critical Reviews in Biochemistry and Molecular Biology	3
Current Cardiology Reviews	3
Cytoskeleton (Hoboken, N.j.)	3
Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy	3
Diabetes, Obesity &amp; Metabolism	3
EMBO Reports	3
Endocrine-Related Cancer	3
Endocrinology	3
European Journal of Nutrition	3
F1000Prime Reports	3
F1000Research	3
Febs Letters	3
Fems Microbiology Reviews	3
Frontiers in Chemistry	3
Frontiers in Neural Circuits	3
Frontiers in Neurology	3
Hepatology (Baltimore, Md.)	3
Immunological Reviews	3
Indian Journal of Pharmacology	3
International Journal of Peptides	3
International Journal of Vascular Medicine	3
ISRN Hematology	3
ISRN Inflammation	3
ISRN Neurology	3
ISRN Pharmacology	3
Journal of Bone Metabolism	3
Journal of Cachexia, Sarcopenia and Muscle	3
Journal of clinical &amp; cellular immunology	3
Journal of Histochemistry and Cytochemistry	3
Journal of Leukocyte Biology	3
Journal of Ophthalmology	3
Journal of Thyroid Research	3
Journal of Toxicology	3
Kidney International	3
Microbiology	3
Molecular and Cellular Biochemistry	3
Molecular and Cellular Endocrinology	3
Molecular Biology Reports	3
Molecular Endocrinology	3
Nephrology Dialysis Transplantation	3
Nutrition Research and Practice	3
Pharmacology &amp; Therapeutics	3
Plant Molecular Biology	3
Small GTPases	3
Stem Cells International	3
Surgical Neurology International	3
Traffic (Copenhagen, Denmark)	3
Tuberculosis and Respiratory Diseases	3
Vascular Cell	3
Virulence	3
World Journal of Surgical Oncology	3
Adipocyte	2
Advances in Hematology	2
Advances in Pharmacological Sciences	2
Allergy	2
Allergy, Asthma, and Clinical Immunology : Official Journal of the Canadian Society of Allergy and Clinical Immunology	2
American Journal of Physiology - Gastrointestinal and Liver Physiology	2
American Journal of Physiology - Renal Physiology	2
Amino Acids	2
Anatomy &amp; Cell Biology	2
Annals of Clinical and Translational Neurology	2
Annals of Medicine	2
Annals of the New York Academy of Sciences	2
Annals of the Rheumatic Diseases	2
Antioxidants &amp; Redox Signaling	2
Atherosclerosis	2
Autoimmune Diseases	2
Bioarchitecture	2
Biochemical pharmacology	2
Biochimie	2
Biomarker Insights	2
BMC Biotechnology	2
BMC Veterinary Research	2
Cancer &amp; Metabolism	2
Cancer Microenvironment	2
Cardiovascular Drugs and Therapy	2
Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology	2
Chemotherapy Research and Practice	2
Cholesterol	2
Clinical and molecular allergy : CMA	2
Current HIV Research	2
Current Molecular Medicine	2
Current Protein &amp; Peptide Science	2
Diabetes Care	2
Diabetology &amp; Metabolic Syndrome	2
Disease Markers	2
DNA Research: An International Journal for Rapid Publication of Reports on Genes and Genomes	2
European Heart Journal	2
European Journal of Medical Research	2
Experimental Dermatology	2
Frontiers in Integrative Neuroscience	2
Frontiers in Pediatrics	2
